127.0.0.1, 2018-04-13 18:35:53, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.361402
127.0.0.1, 2018-04-13 18:35:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000401
127.0.0.1, 2018-04-13 18:35:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2018-04-13 18:41:25, GET, /Codetrain/default/register, HTTP/1.1, 200, 0.092193
127.0.0.1, 2018-04-13 18:42:08, POST, /Codetrain/default/store, HTTP/1.1, 200, 0.255215
127.0.0.1, 2018-04-13 18:42:30, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.006020
127.0.0.1, 2018-04-13 22:11:51, GET, /Codetrain/default/seeUsers, HTTP/1.1, 500, 0.231581
127.0.0.1, 2018-04-13 22:12:13, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.005604
127.0.0.1, 2018-04-14 14:57:38, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.148477
127.0.0.1, 2018-04-14 14:58:42, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.012764
127.0.0.1, 2018-04-14 14:58:44, GET, /Codetrain/default/seeUsers, HTTP/1.1, 200, 0.006731
127.0.0.1, 2018-04-21 12:18:52, GET, /codetrain/default/login, HTTP/1.1, 404, 0.000781
127.0.0.1, 2018-04-21 12:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2018-04-21 12:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
127.0.0.1, 2018-04-21 12:23:09, GET, /codetrain/default/login, HTTP/1.1, 404, 0.000380
127.0.0.1, 2018-04-21 12:23:47, GET, /Codetrain/default/login, HTTP/1.1, 200, 0.313062
127.0.0.1, 2018-04-21 12:24:21, GET, /Codetrain/default/login, HTTP/1.1, 200, 0.005224
127.0.0.1, 2018-04-21 12:26:47, GET, /Codetrain/default/login, HTTP/1.1, 200, 0.007678
127.0.0.1, 2018-06-02 10:56:13, GET, /, HTTP/1.1, 303, 0.000740
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.650761
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.026318
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.024037
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.022404
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.156883
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.157531
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.157098
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001148
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001206
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000779
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.011868
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.011592
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.011494
127.0.0.1, 2018-06-02 10:56:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000448
